chi_over_kappa	current	noise	qfi_rate	noise_over_current_squared	inverse_qfi_rate
0.1364272581716343	0.04021908804230177	0.09765484480322958	0.03722479354445953	60.37113717139688	26.86381588136003
0.1365272781556311	0.04028283481159009	0.09783861309471603	0.03727939536117014	60.29346415075089	26.82446939688272
0.1366272981396279	0.04034664336169627	0.09802265661589235	0.03733403719386955	60.21596488029914	26.785209293256
0.1367273181236247	0.04041051373107061	0.0982069757849892	0.03738871904255776	60.13863885532112	26.746035317812
0.1368273381076215	0.04047444595821362	0.09839157102103546	0.03744344090723475	60.06148557294341	26.706947218806
0.1369273580916183	0.04053844008167625	0.09857644274386032	0.03749820278790054	59.98450453213156	26.66794474541237
0.1370273780756151	0.04060249614005973	0.09876159137409436	0.03755300468455514	59.90769523368215	26.6290276477206
0.1371273980596119	0.04066661417201577	0.09894701733317153	0.03760784659719851	59.83105718021475	26.59019567673125
0.1372274180436087	0.04073079421624664	0.09913272104333094	0.0376627285258307	59.75458987616389	26.55144858435197
0.1373274380276055	0.04079503631150514	0.09931870292761805	0.03771765047045167	59.67829282777123	26.51278612339357
0.1374274580116023	0.04085934049659474	0.09950496340988671	0.03777261243106145	59.6021655430776	26.47420804756604
0.1375274779955991	0.04092370681036958	0.09969150291480068	0.03782761440766	59.52620753191525	26.43571411147467
0.1376274979795959	0.04098813529173462	0.09987832186783537	0.03788265640024736	59.45041830589994	26.39730407061608
0.1377275179635927	0.04105262597964565	0.1000654206952794	0.03793773840882352	59.37479737842318	26.35897768137442
0.1378275379475895	0.0411171789131093	0.1002527998242362	0.03799286043338845	59.29934426464465	26.32073470101744
0.1379275579315863	0.04118179413118324	0.100440459682626	0.0380480224739422	59.22405848148429	26.28257488769268
0.1380275779155831	0.04124647167297611	0.1006284006991873	0.03810322453048474	59.14893954761492	26.24449800042365
0.1381275978995799	0.04131121157764768	0.1008166233034784	0.03815846660301608	59.07398698345434	26.206503799106
0.1382276178835767	0.04137601388440881	0.1010051279258794	0.03821374869153619	58.99920031115806	26.16859204450376
0.1383276378675735	0.04144087863252169	0.1011939149975937	0.03826907079604511	58.92457905461145	26.13076249824556
0.1384276578515703	0.0415058058612997	0.1013829849506498	0.03832443291654284	58.85012273942254	26.09301492282088
0.1385276778355671	0.04157079561010759	0.1015723382179029	0.03837983505302934	58.77583089291443	26.05534908157636
0.1386276978195639	0.04163584791836157	0.1017619752330366	0.03843527720550465	58.70170304411779	26.017764738712
0.1387277178035607	0.04170096282552928	0.1019518964305647	0.03849075937396876	58.62773872376364	25.98026165927759
0.1388277377875575	0.0417661403711299	0.1021421022458329	0.03854628155842164	58.55393746427601	25.94283960916896
0.1389277577715543	0.0418313805947343	0.1023325931150204	0.03860184375886334	58.48029879976438	25.90549835512432
0.1390277777555511	0.04189668353596492	0.1025233694751418	0.03865744597529382	58.40682226601675	25.86823766472067
0.1391277977395479	0.041962049234496	0.1027144317640487	0.03871308820771311	58.33350740049224	25.83105730637016
0.1392278177235447	0.04202747773005355	0.1029057804204313	0.03876877045612118	58.26035374231387	25.7939570493165
0.1393278377075415	0.04209296906241553	0.1030974158838206	0.03882449272051805	58.18736083226135	25.75693666363135
0.1394278576915383	0.04215852327141176	0.1032893385945895	0.03888025500090372	58.11452821276423	25.71999592021082
0.1395278776755351	0.04222414039692408	0.103481548993955	0.03893605729727817	58.0418554278945	25.68313459077186
0.1396278976595319	0.04228982047888643	0.1036740475239798	0.03899189960964143	57.96934202335967	25.64635244784875
0.1397279176435287	0.04235556355728485	0.1038668346275742	0.03904778193799349	57.89698754649578	25.60964926478961
0.1398279376275255	0.04242136967215761	0.1040599107484975	0.03910370428233433	57.82479154626037	25.57302481575293
0.1399279576115223	0.04248723886359521	0.1042532763313599	0.03915966664266396	57.75275357322558	25.53647887570403
0.1400279775955191	0.04255317117174056	0.1044469318216247	0.0392156690189824	57.68087317957112	25.50001122041163
0.1401279975795159	0.04261916663678891	0.1046408776656094	0.03927171141128964	57.60914991907753	25.46362162644445
0.1402280175635127	0.04268522529898797	0.1048351143104876	0.03932779381958565	57.53758334711929	25.42730987116774
0.1403280375475095	0.04275134719863805	0.1050296422042915	0.03938391624387047	57.46617302065802	25.39107573273989
0.1404280575315063	0.042817532376092	0.1052244617959126	0.03944007868414409	57.39491849823557	25.35491899010905
0.1405280775155031	0.04288378087175537	0.1054195735351042	0.0394962811404065	57.32381933996756	25.31883942300973
0.1406280974994999	0.04295009272608644	0.1056149778724829	0.03955252361265769	57.25287510753643	25.28283681195952
0.1407281174834967	0.0430164679795963	0.1058106752595307	0.0396088061008977	57.18208536418478	25.24691093825562
0.1408281374674935	0.04308290667284893	0.1060066661485963	0.0396651286051265	57.11144967470891	25.21106158397166
0.1409281574514903	0.04314940884646117	0.1062029509928972	0.03972149112534407	57.04096760545203	25.17528853195432
0.1410281774354871	0.043215974541103	0.1063995302465217	0.03977789366155046	56.9706387242977	25.13959156582003
0.1411281974194839	0.04328260379749736	0.1065964043644302	0.03983433621374564	56.90046260066343	25.10397046995174
0.1412282174034807	0.04334929665642035	0.1067935738024576	0.03989081878192961	56.83043880549406	25.06842502949567
0.1413282373874775	0.04341605315870137	0.1069910390173145	0.03994734136610238	56.76056691125518	25.03295503035798
0.1414282573714743	0.04348287334522299	0.1071888004665895	0.04000390396626395	56.69084649192693	24.99756025920167
0.1415282773554711	0.04354975725692118	0.1073868586087509	0.04006050658241431	56.62127712299738	24.96224050344332
0.1416282973394679	0.04361670493478531	0.1075852139031483	0.04011714921455345	56.55185838145626	24.92699555124985
0.1417283173234647	0.04368371641985829	0.1077838668100148	0.04017383186268141	56.4825898457885	24.89182519153539
0.1418283373074615	0.04375079175323649	0.1079828177904687	0.04023055452679815	56.41347109596808	24.85672921395815
0.1419283572914583	0.04381793097606996	0.1081820673065151	0.04028731720690368	56.34450171345161	24.82170740891724
0.1420283772754551	0.04388513412956245	0.108381615821048	0.04034411990299801	56.27568128117198	24.7867595675495
0.1421283972594519	0.04395240125497143	0.1085814637978523	0.04040096261508114	56.20700938353244	24.75188548172645
0.1422284172434487	0.04401973239360825	0.1087816117016053	0.04045784534315307	56.13848560640008	24.71708494405118
0.1423284372274455	0.04408712758683807	0.1089820599978787	0.04051476808721378	56.07010953709992	24.68235774785526
0.1424284572114423	0.04415458687608015	0.1091828091531406	0.04057173084726329	56.00188076440854	24.64770368719563
0.1425284771954391	0.04422211030280768	0.1093838596347571	0.0406287336233016	55.93379887854812	24.61312255685161
0.1426284971794359	0.04428969790854796	0.1095852119109944	0.04068577641532869	55.86586347118045	24.57861415232184
0.1427285171634327	0.04435734973488256	0.1097868664510208	0.0407428592233446	55.79807413540057	24.54417826982123
0.1428285371474295	0.04442506582344721	0.1099888237249081	0.04079998204734929	55.73043046573115	24.509814706278
0.1429285571314263	0.04449284621593197	0.1101910842036338	0.04085714488734278	55.66293205811617	24.47552325933064
0.1430285771154231	0.04456069095408129	0.1103936483590832	0.04091434774332505	55.59557850991521	24.44130372732496
0.1431285970994199	0.04462860007969414	0.110596516664051	0.04097159061529614	55.5283694198973	24.40715590931109
0.1432286170834167	0.04469657363462391	0.1107996895922431	0.04102887350325601	55.4613043882352	24.37307960504061
0.1433286370674135	0.04476461166077866	0.1110031676182788	0.04108619640720466	55.3943830164995	24.33907461496351
0.1434286570514103	0.04483271420012111	0.1112069512176926	0.04114355932714213	55.32760490765259	24.30514074022533
0.1435286770354071	0.04490088129466871	0.1114110408669362	0.04120096226306839	55.2609696660432	24.27127778266425
0.1436286970194039	0.04496911298649368	0.1116154370433799	0.04125840521498342	55.19447689740029	24.2374855448082
0.1437287170034007	0.04503740931772324	0.1118201402253155	0.04131588818288728	55.12812620882741	24.20376382987192
0.1438287369873975	0.04510577033053943	0.1120251508919573	0.04137341116677992	55.06191720879705	24.17011244175421
0.1439287569713943	0.04517419606717937	0.1122304695234447	0.04143097416666136	54.9958495071448	24.13653118503496
0.1440287769553911	0.04524268656993527	0.1124360966008434	0.04148857718253158	54.9299227150638	24.10301986497242
0.1441287969393879	0.04531124188115454	0.1126420326061483	0.04154622021439061	54.86413644509895	24.06957828750025
0.1442288169233847	0.04537986204323978	0.1128482780222847	0.04160390326223843	54.79849031114151	24.03620625922484
0.1443288369073815	0.0454485470986489	0.1130548333331103	0.04166162632607504	54.73298392842329	24.00290358742245
0.1444288568913783	0.04551729708989525	0.1132616990234177	0.04171938940590045	54.66761691351115	23.96967008003641
0.1445288768753751	0.04558611205954757	0.1134688755789359	0.04177719250171466	54.60238888430158	23.9365055456744
0.1446288968593719	0.04565499205023014	0.1136763634863322	0.04183503561351766	54.53729946001503	23.90340979360567
0.1447289168433687	0.04572393710462287	0.1138841632332145	0.04189291874130945	54.47234826119054	23.87038263375829
0.1448289368273655	0.04579294726546131	0.1140922753081332	0.04195084188509004	54.40753490968018	23.83742387671641
0.1449289568113623	0.04586202257553676	0.114300700200583	0.04200880504485942	54.34285902864378	23.80453333371759
0.1450289767953591	0.04593116307769632	0.1145094384010047	0.04206680822061759	54.27832024254331	23.77171081665009
0.1451289967793559	0.04600036881484303	0.1147184904007882	0.04212485141236457	54.21391817713769	23.73895613805009
0.1452290167633527	0.04606963982993586	0.1149278566922732	0.04218293462010034	54.14965245947729	23.70626911109916
0.1453290367473495	0.04613897616598978	0.1151375377687517	0.04224105784382491	54.08552271789878	23.67364954962147
0.1454290567313463	0.04620837786607589	0.1153475341244705	0.04229922108353826	54.02152858201966	23.64109726808123
0.1455290767153431	0.04627784497332155	0.1155578462546326	0.04235742433924042	53.95766968273304	23.60861208157995
0.1456290966993399	0.04634737753091025	0.1157684746553993	0.04241566761093137	53.89394565220245	23.57619380585394
0.1457291166833367	0.04641697558208185	0.1159794198238925	0.0424739508986111	53.83035612385657	23.54384225727162
0.1458291366673335	0.04648663917013268	0.1161906822581964	0.04253227420227965	53.76690073238389	23.51155725283089
0.1459291566513303	0.04655636833841545	0.1164022624573597	0.04259063752193698	53.70357911372788	23.47933861015661
0.1460291766353271	0.04662616313033949	0.1166141609213978	0.04264904085758311	53.64039090508146	23.44718614749802
0.1461291966193239	0.04669602358937066	0.1168263781512942	0.04270748420921802	53.57733574488221	23.41509968372614
0.1462292166033207	0.04676594975903166	0.1170389146490037	0.04276596757684174	53.51441327280691	23.3830790383312
0.1463292365873175	0.04683594168290185	0.117251770917453	0.04282449096045426	53.45162312976679	23.35112403142018
